req_id,work_package,status,evidence,owner,notes
R01,Task 1,done,scope limited to technical bid in all routes and UI,,
R02,Task 4+9,done,human_confirmation API + export gate blocks unconfirmed veto,,
R03,Task 4,done,requirement_repo.confirm + unconfirmed_veto_count check,,
R04,Task 4,done,requirements_extractor + facts_extractor + scoring_extractor,,
R05,Task 2+3,done,BaseWorkflow + tender_ingestion + generate_section + review_section + export_bid,,
R06,Task 5,done,index_manager with ik_max_word + 300+ synonyms,,
R07,Task 3,done,mineru_client + parser.py + tender_ingestion workflow,,
R08,Task 8,done,table_overrides API + override editor component,,
R09,Task 9,done,docx_exporter + pdf_exporter + export_bid workflow,,
R10,Task 6,done,fallback.py + token_tracker.py + enhanced chat endpoint,,
R11,Task 2-9,done,7 pages: project-list upload parse-results requirements-confirmation chapter-editor review-results export,,
R12,Task 1+2+6,done,alembic 0001-0003 migrations + docker-compose,,
R13,Task 5,done,synonyms.txt 300+ entries + synonym_loader,,
R14,Task 10,in_progress,eval_runner + uat-checklist — awaiting real sample UAT,,
R15,Task 4,done,scoring_criteria table + scoring_extractor + scoring API,,
R16,Task 8,done,compliance_matrix.py + compliance API + frontend component,,
R17,Task 2,done,security.py with 3 roles + require_role dependency,,
R18,Task 7,done,prompt_service + trace_repo + prompt_template table,,
